Artikelnummer;Artikelname;Brutto-VK;Stücklistenkomponenten Artikelnummer;Menge
M4-9XNY-I7Y6;Satch Sportbeutel Bright Faces;24,99;;
LY-W2F3-UWGJ;Satch Tag Reflective Petrol;11,11;;
KR-VYGR-PMFA;Satch Trinkflasche PET schwarz alt;12,03;;
KA-B9HP-4MDQ;Coocazoo MatchPatch Glow Black;16,99;;
JS-07Q5-31LP;Satch Sporttasche 80s Dance;44,01;;
IA-7EGD-Q66W;Satch Tag Petrol Rebel;11,11;;
I1-AESK-6NLI;Coocazoo Rayday Scottish Check;69,95;;
HZ-EVW2-OT01;satch Sportbeutel Jade Green;29,99;;
HT-QLX1-3GKR;Coocazoo Schlamperbox Berryman;23,99;;
GH-GZF0-FS1A;Satch Schlamperbox Cliff Jumper;30,39;;
GG-W02R-PRZ0;satch TAG Rucksack Accessoire match gekauft ab März 2024, in vielen Designs und Farben Laced Black - Lila;12,06;;
FW-A9HD-EERB;Satch air Lazy Daisy;85,39;;
FI-M70R-LN8O;Satch Match Deep Petrol;117,75;;
FD-57TL-1Q2M;Satch Sporttasche Urban Journey;39,99;;
EX-300J-L41Z;Satch Match Dark Skate 2024;127,51;;
ER-0BOC-KMSE;Satch Pack Sun Catcher;128,99;;
EK-EI4B-4200;Satch Tag Laced Black;12,06;;
EJ-3ZRD-2YUO;Satch Schlamperbox Double Trouble;29,99;;
EB-8RY0-V488;Satch Sportbeutel Deep Petrol;23,74;;
DN-DLMR-6G2A;Satch Tag Spider Web;9,89;;
DH-6Y7A-7PIP;Satch Match Bloomy Breeze 2024;133,68;;
CZ-AMWL-KTA8;Satch Pack Cliff Jumper;135,39;;
CP-UPOU-HKP6;satch Schlamperbox extra groß inkl. Trennfach Reißverschlussfach Stiftehalter Geodreieck Sichtfenster für Stundenplan Nordic Grey - Grau;29,99;;
CK-KQYU-3FYA;Coocazoo MatchPatch Sprinkled Hibiscus;14,95;;
CC-AO9J-989E;Satch Tag Reflective Blue;11,11;;
C5-6612-211S;satch Pencil Slider extra groß inkl. Trennfach Reißverschlussfach Stiftehalter Geodreieck Sichtfenster für Stundenplan Nordic Blue - Blau;30,34;;
BP-9PEO-NDOO;Satch Trinkflasche PET purple alt;12,03;;
BJ-PO2J-K8UT;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Lazy Daisy - Schwarz;91,67;;
BA-H75E-63NN;Satch Sportbeutel 80s Dance;24,99;;
B2-3SZM-Q70Q;Satch Swaps Level up;15,49;;
AY-IDXI-AIKF;Satch PenBox Firecracker;14,95;;
AB-24OE-NKPX;Satch Geldbeutel 80s Dance;19,89;;
A1-2260-T66X;Satch Match Green Supreme neu;125,44;;
96-WB7T-08HB;Satch Match Mystic Nights 2024;129,95;;
8X-YMIU-X1S4;Satch Sporttasche Bright Faces;41,99;;
8V-3J6P-PHM9;Satch Pencil Slider Purple Phantom;23,74;;
8U-ME8X-JNWK;Satch Schlamperbox Deep Petrol;23,74;;
7S-7R7H-55R5;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Night Vision - Schwarz;89,4;;
7O-8D70-P1M2;Satch Heftbox transparent neu;12,7;;
74-GYC2-M9CB;Satch Swaps Spider Web;13,89;;
6N-AR5D-QLBR;Satch Tag Reflective Violet;11,11;;
6D-INXO-T7SJ;Satch air 80s Dance;84,15;;
5R-5NJQ-PG8X;Satch Tag Stranger Signs;11,11;;
53-4O6Z-F2NN;Satch Air Bloomy Breeze neu;89,95;;
4V-ZHDH-ZDGX;Coocazoo JobJobber2 Tropical Blue;99,95;;
4S-Y668-2WL6;Satch Swaps Purple Galaxy;14,09;;
4D-Q2OD-I4GQ;Coocazoo CarryLarry2 Melange a trois Navy;89,95;;
49-417X-35N6;Satch Tag Retro Flowers;11,11;;
3C-9T5O-Y8GS;Satch Sportbeutel Sun Catcher;29,5;;
35-9D9X-LS52;Satch Sportbeutel Purple Phantom;28,95;;
2Z-NTQ3-UR27;Satch air Purple Laser;85,58;;
2R-B2WL-QUZQ;Satch Swaps Weekend Fan;14,91;;
2K-7K7Q-RELI;Satch Match Purple Phantom;128,99;;
1O-5UXP-Y8ZG;Satch Trinkflasche Edelstahl Nordic Coral;35,49;;
1J-4S6R-DBDW;Satch air Night Vision;90,99;;
11-SLXH-1DF4;Satch Pack Deep Petrol;124,98;;
11-DU31-4PGS;Coocazoo Porter Electric Ice;139,99;;
0J-WSPO-6J9M;Satch Geldbeutel Deep Petrol;19,1;;
ZQ-S2KV-R950;"coocazoo Schulrucksack ScaleRale ,,OceanEmotion - Blue Bay"", blau, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Mädchen ab der 5. Klasse, 30 Liter";139,9;;
F2-UBY5-BFGQ;satch pack Schulrucksack 45 cm;129,99;;
ZM-PUCX-BT5B;SATCH Space Race Federmäppchen, 22 cm, 0.3 Liter, Blue Green Speckled;29,99;;
H4-GXBU-I3VD;satch sleek Schulrucksack 45 cm;99;;
ZA-9VUL-3A0B;satch Cross Easy Bauchtasche Hip Bag für Teenager mit Reißverschlussfach Pure Ice Blue - Hellblau;24,99;;
BE-O5TQ-0X5N;satch pack Schulrucksack ab 5. Klasse ergonomisch 30L Stauraum standfest Organisationstalent Pink Bermuda - Pink;129;;
3F-BTZY-RKN3;satch pack meshy edition 2.0 Schulrucksack 45 cm;159;;
Z7-CNR4-VI3K;SATCH Grinder Federmäppchen, Grün;29,99;;
CP-6C7T-RYBI;satch air Schulrucksack 43 cm;89,9;;
YW-O23D-ANSG;satch Mäppchen Schlampermäppchen 25 cm;29,9;;
J9-YWG9-DCD3;SATCH True Blue 2.0 Kinder-Rucksack, Blau Mit Lederapplikationen;149;;
Y7-4KB3-0B6J;coocazoo Schulrucksack JobJobber Holiman, blau-gelb-lila, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Mädchen ab der 5. Klasse, 30 Liter;54,9;;
Y5-2DEZ-GJJC;SATCH Phantom Federmäppchen, 22 cm, 0.3 Liter, Grey/ Green;34,99;;
Y0-L3WD-F6CU;satch Fly 18L Freizeit-Rucksack Daypack Recycelt mit Laptopfach Rückenpolster Seitentasche;59,99;;
GX-XFQZ-2W0P;Satch Pack Jungle Flow Schulrucksack;119,99;;
XF-Y0K2-RMAZ;Coocazoo Schulrucksack JobJobber Lime District, blau-gelb, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen ab der 5. Klasse, 30 Liter;89,95;;
3Z-E162-FZX7;SATCH Mint Phantom Kinder-Rucksack, 45 cm, 30 Liter, Mint Grey;119,99;;
XD-1NWC-5AG4;satch Mäppchen Schlampermäppchen 22 cm;29,99;;
8I-TBMA-QWPX;SATCH Unisex-Kinder Pack Rucksack Mehrfarbig (Funky Friday);119,99;;
6V-YY44-C8NE;satch match Schulrucksack 45 cm Laptopfach;139,99;;
VZ-MXV2-2QTK;"Coocazoo Schulrucksack Jobjobber ,,Seaman"" blau, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen ab der 5. Klasse, 30 Liter";89,95;;
IR-LTXK-9ZU6;satch Pack Ocean Flow, ergonomischer Schulrucksack, 30 Liter, Organisationstalent, Grau/Schwarz;119;;
VU-5KEX-ZGHD;coocazoo School Stuff CarryLarry II Schulrucksack 44 cm;69,95;;
VN-4B8R-XVUO;Satch Off Road Unisex Kinder Rucksack;107,99;;
VL-HZ81-EX29;Coocazoo Geldbörse, Fresh Mint, grau-Mint, Portemonnaie mit Sichtfenster innen & außen, Münzfach & Kartenfächern, Klettverschluss, Polyester, ab der 3. Klasse;18,97;;
K5-ZHVS-HFUF;SATCH Green Crush Kinder-Rucksack, Grün Polygon;139;;
UF-8L1Q-OK4Y;Satch Match Mint Phantom 002;139,99;;
U9-ULC0-D1RF;Satch Off Road Sporttasche für Kinder, Unisex, Schwarz/Grün/Neon, Einheitsgröße;29,99;;
TL-0NBY-OYU1;"coocazoo Schulrucksack JobJobber ,,Shadowman"" schwarz, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen 5. Klasse, 30 Liter";99,99;;
TF-H344-ZIRM;Satch Zubehör Schlamperbox Happy Flakes;23,8;;
BW-H356-BU7S;satch Sporttasche 45 cm;44,9;;
183717;"Coocazoo Schulrucksack ScaleRale ,,EffectiveReflective Stripe"", lila, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt, ab der 5. Klasse";0;;
DU-OO84-0RNA;Satch Regenschutz für Schulrucksäcke, wasserdicht und schmutzabweisend mit Reflektoren, Polyester;15,94;;
4X-AYXB-R2MC;SATCH Beach Leach 2.0 Kinder-Rucksack, 45 cm, Karo Bunt Gepixelt, SAT-SLE-001-901;99;;
ZG-0DYQ-S2UN;Coocazoo CashDash Geldbörse 12 cm Zebra Stripe Blue;19,99;;
Z7-XIYI-K7J1;SATCH Bluetwist Federmäppchen SAT-BSC-001-9A4, 22 cm, 1 L, Blue Grey Checks;29,99;;
65-VQWX-RM6B;SATCH Beach Leach 2.0 Turnbeutel, 44 cm, Karo Bunt Gepixelt;29,99;;
YT-IV92-DVTW;Satch Geldbeutel - Münzfach, Geldscheinfach, Sichtfenster;18,99;;
YF-1WDK-0SPG;Coocazoo - Schulrucksack CarryLarry 2 Polyester 30 L, rot (red district);74,95;;
9V-ITNB-NLKA;satch match Schulrucksack 48 cm;119;;
Y4-A41C-CVLQ;satch Sportbeutel 44 cm;29,99;;
XX-SRG4-EKCU;Satch Pack Schulrucksack - ergonomisch, 30 Liter, Organisationstalent;122,55;;
XJ-4O2M-FSHM;Satch Satch SAT-BSC-001-9R8 Federmäppchen, unisex, Schwarz;29,99;;
XH-HTYV-WVYC;Satch Sportbeutel Infra Green;23,99;;
XC-IMGR-G1WX;Satch SAT-SPO-001-9K5 - Wickelrucksack, unisex, mehrfarbig;29,99;;
X8-L0MX-FOL1;Coocazoo Schlamperbox Fresh Mint;22,9;;
X4-LCFB-C7QY;Satch Deportivo Black, Yellow;19,9;;
X2-BAX5-M5NS;Coocazoo Schulrucksack, Rucksack für den Alltag, modern und leicht Mehrfarbig;99,95;;
X0-YURC-IO6W;"Coocazoo Schlampermäppchen ,,WWF, Green Wildlife"", Schlampermäppchen mit Stiftschlaufen, extra Fächer im Federmäppchen, Jungen und Mädchen ab der 5. Klasse";29,99;;
WY-DTS9-BHEH;Satch Pack Nordic Purple;149,99;;
WN-8ZP4-M5H6;Bubbacare Satch Pack Solid Blue Special Edition Schulrucksack Set 2tlg....;139,98;;
3C-5AFZ-WPSX;SATCH Unisex-Kinder Match Rucksack Blau (Waikiki Blue), 45x20x30 cm (B x H x T);139,99;;
W6-SCR1-YMXO;Hama COOCAZOO PENCILDENZE Ocean Purple Bay;19,44;;
5Y-LQ5Q-DBAY;Satch School Backpack Pack Synthetics 30;119;;
TU-N6UI-JZ2L;coocazoo School Stuff JobJobber Schulrucksack 46 cm Laptopfach;79,95;;
SE-ZVGW-SAYA;Coocazoo City and School Hangdang Schultertasche mit Laptopfach 44 cm Lime District;39,95;;
Q4-HC9T-EOHK;SATCH Bounce Schulrucksack SAT-BAS-001-801, 43 cm, 27 L, Black;99,9;;
SU-5XP6-HMDG;"coocazoo Sporttasche ,,Black Coal"", schwarz, Hauptfach, Nasswäschefach, Seitentasche, Reflektoren, 20 Liter, ab der 3. Klasse";40,87;;
0K-REWP-YSC5;"Coocazoo Geldbörse, ,,Tropical Night"", blau, Portemonnaie mit Sichtfenster innen & außen, Münzfach & Kartenfächern, Klettverschluss, Polyester, ab der 3. Klasse";15,99;;
ZS-T6YR-26UU;Ranzenfee & Koffertroll GmbH Satch Pack Deep Rose Schulrucksack Set 2tlg.;139,98;;
9C-H7FG-K5PE;SATCH Stoney Mony Kinder-Rucksack, 45 cm, 24 Liter, Geometric Animal;86,4;;
ZQ-95HD-J4V2;"coocazoo Colour UP-Set ,,Blue Wave"", Anhänger für Schulranzen, Klett-Patch, ökologisch, für Jungen und Mädchen ab der 5. Klasse";14,97;;
ZM-60I4-9676;Hama COOCAZOO PENCILDENZE Purple Galaxy RE;24,95;;
C0-1YFE-YRZB;Satch Pack Robby Bobby;129;;
Z6-I9L9-OE0R;satch Match Schulrucksack 45 cm Laptopfach;139,99;;
Z2-TYN4-0HR0;Samsung Screen Protector Tempered Glass,[Anti-Fingerprint][No-Bubble][Scratch-Resistant] Samsung Galaxy Screen;19,9;;
YZ-G8HU-KTYY;Satch by Ergobag Robby Bobby Pack 3er Set Schulrucksack + Sporttasche + Schlamperbox;178,7;;
YS-ZHSU-HJSM;"coocazoo Schulrucksack JobJobber ,,Woodsman"" Khaki, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen 5. Klasse, 30 Liter";89,95;;
YS-K61F-RKM3;Satch Match Schulrucksack - ergonomisch, erweiterbar auf 35 Liter, extra Fronttasche - Mystic Nights - Schwarz, einheitsgröße;149,99;;
YL-RXJ7-1CQE;"coocazoo Schulrucksack ScaleRale ,,EffectiveReflectve Camou"", gelb, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt, ab der 5. Klasse";169,95;;
YH-PEN6-XB5W;Coocazoo Geldbeutel Polygon Bricks Grey;18,99;;
YD-QG4G-UV4D;Satch SAT-DUF-001-206 Unisex Windelrucksack;39,99;;
YA-TW4Y-RZUQ;"coocazoo Sporttasche SporterPorter ,,Laserbeam Blue"", blau, Nasswäschefach, Seitentasche, Schuhfach, Abnehmbarer, Verstellbarer Schultergurt, für Jungen ab der 5. Klasse, 20 Liter";29,95;;
Y9-5E0N-379A;Satch Schlamperbox - Mäppchen groß, Trennfach, Geodreieck - Purple Hibiscus - Schwarz SAT-BSC-002-9C6 einheitsgröße;29,99;;
SG-25KS-XIFA;Satch Sporttasche Tweaker;39,9;;
Y3-LOZG-6PEP;Coocazoo Sporttasche 42 cm;44,99;;
B2-O5S1-RUY6;satch pack Schulrucksack 45 cm;129,99;;
XY-H87E-6LWA;Satch Clutch Waikiki Blue;19,99;;
MI-7SMU-YC3O;satch match Schulrucksack 48 cm;119;;
XV-DW1Z-YH27;Satch Clutch Geldbörse für Kinder, Unisex, Mehrfarbig (Funky Friday), Funky Friday, Nicht zutreffend;29,99;;
XQ-6HOK-THTZ;"Satch SAT-BSC-001-9R2 Federmäppchen, Unisex, mehrfarbig"" is incorrect and must be replaced by the proper value ""Satch Schlamperbox - Mäppchen groß, Trennfach, Geodreieck - Awesome Blossom - Blau";29,99;;
XN-CWOO-602J;Hama COOCAZOO WEEPERKEEPE Green Reflect;14,95;;
XJ-2APV-8KBP;satch Geldbörse 13 cm;19,99;;
XB-5LNN-0P9F;satch pack Schulrucksack 45 cm;119;;
5L-X6DE-22W2;Satch pack Schulrucksack 48 cm;119;;
WQ-FNQ1-OFN4;Satch pack Schulrucksack 48 cm;119;;
WJ-ZC05-K2VU;satch Sleek Schulrucksack ergonomisch, 24 Liter, extra schlank Geo Storm - Olive;99,99;;
WI-S0IM-SNSE;"coocazoo Schulrucksack Joker ,,Magic Polka"", schwarz, ergonomischer & anpassbarer Tornister, höhen- & größenverstellbar, mit Brustgurt & Hüftgurt, ab der 3. Klasse";109;;
WH-7AFV-DPGC;coocazoo Colour UP-Set, Reflective Rainbow, schwarz-grau, Anhänger & Klett-Patch für die Schulrucksäcke Mate, Joker & Porter, Motiv & Anhänger, austauschbar & individuell, ab der 3. Klasse;12,99;;
W9-EFAX-BQ0T;Coocazoo Schlamperbox Unique Patch pink;19,99;;
W6-RTD5-FO3J;Satch Uni Schulrucksack, schwarz, SAT-SLE-001-9L0;99;;
W5-DBQW-ML6J;satch Black Reef Unisex Kinderrucksack XXL Schwarz/Grau;29,99;;
W1-Q1Q2-U7IH;Satch SAT-DUF-001-325 Wickelrucksack, Unisex, blau;39,9;;
W1-OXRD-8M36;satch pack Schulrucksack 45 cm;119;;
W1-2JVC-U5DX;coocazoo Schulrucksack ScaleRale Magic Polka Colorful blau-lila-rot-schwarz, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Mädchen ab der 5. Klasse, 30 Liter;119;;
VW-RE2W-ZRLL;satch pack Schulrucksack 45 cm;109;;
VN-Y0V3-5WY8;Coocazoo Schlamperbox Diveman;15,9;;
09-YX00-215Q;Satch Wallet Geldbörse 13 cm;19,99;;
VC-SI5G-GF9W;satch Sportbeutel - 12L, Rucksäcken fixierbar, Reißverschlussfach;24,99;;
V4-GJWP-8ZZN;Satch Deportivo Blue;29,99;;
UC-4JDW-G1KU;"Coocazoo Schulrucksack ScaleRale ,,FreakaSneaka Orange Blue"", blau, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt, ab der 5. Klasse";169,95;;
UA-KESZ-4ZRA;coocazoo Schulrucksack JobJobber Polygon Bricks, blau-gelb-schwarz, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen ab der 5. Klasse, 30 Liter;99,95;;
TW-5S77-WJ25;Satch Deportivo Green;29,99;;
TA-8ZX1-2J1W;Satch Rucksack, Stardust;24,99;;
T0-JREL-3I0J;"Coocazoo Sportbeutel RocketPocket ,,Waveman"", blau, mit Reißverschlussfach und Kordelzug, reflektierende Elemente, Schlaufen zur Befestigung am Schulrucksack, für Jungen, 10 Liter";17,99;;
SV-MVF2-7P9S;satch Sporttasche 25L Stauraum Nassfach Schuhfach Reißverschlussfach Schultergurt Tragegriffe gepolstert;49,79;;
SS-S36S-UCIO;SATCH Black Bounce Münzbörse, Schwarz;19,99;;
SN-2KR1-CH07;Satch Schulrucksack Pack hurly pearly;119;;
DT-8PZB-CXMR;satch sleek Schulrucksack 45 cm;99;;
2K-5ZLQ-XEYU;Satch Duffle Nordic Sporttasche, Unisex, Koralle (Orange), Einheitsgröße;43;;
211421;Coocazoo Geldbörse, Deep Matrix, blau, Portemonnaie mit Sichtfenster innen & außen, Münzfach & Kartenfächern, Klettverschluss, ab der 3. Klasse;0;;
FR-MKGH-E7YH;Coocazoo Schulrucksack PORTER, Blue Motion, blau, ergonomischer & anpassbarer Tornister, höhen- & größenverstellbar, mit Brustgurt & Hüftgurt, leicht & individuell, ab der 3. Klasse;139,99;;
ZY-GLJY-BD69;satch pack Schulrucksack 45 cm Laptopfach;149,99;;
ZW-M7XS-6X3R;Satch Schlamperbox Sun Catcher;34,9;;
ZS-GP0F-BMR6;"Coocazoo Schulrucksack ScaleRale ,,Laserreflect Berry"" schwarz-pink, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen ab der 5. Klasse, 30 Liter";119,99;;
ZN-4PUX-ITUO;Satch Match Schulrucksack - ergonomisch, erweiterbar auf 35 Liter, extra Fronttasche;134,99;;
ZG-1K2U-G57M;Satch pack Schulrucksack - ergonomisch, 30 Liter, Organisationstalent - Ninja Bermuda - Black, einheitsgröße;129,99;;
ZD-39NH-O88I;"Coocazoo Schulrucksack ScaleRale ,,Bartik"" lila-grün, ergonomischer Tornister, höhenverstellbar mit Brustgurt und Hüftgurt für Jungen ab der 5. Klasse, 30 Liter";99,95;;
N3-UDSY-G436;SATCH Hurly Pearly Kinder-Rucksack, 45 cm, 30 Liter, Pearly Bead;99;;
Z6-LT45-QN0E;satch Pack Sporttasche 50 cm;39,9;;
Z5-TNIV-OWFU;coocazoo School Stuff JobJobber II Schulrucksack 46 cm Laptopfach;79,95;;
YZ-H5I0-0F2X;Satch Pack Schulrucksack - ergonomisch, 30 Liter, Organisationstalent;129,99;;
YT-DOUY-QS2F;Hama COOCAZOO EVVERCL.2 Denim Green;149,95;;
YR-DUSH-C0WI;coocazoo Colour UP-Set, Vegan Leather, braun-rosa, Anhänger & Klett-Patch für die Schulrucksäcke Mate, Joker & Porter, Motiv & Anhänger, austauschbar & individuell, ab der 3. Klasse;14,99;;
R1-7KR5-0OMX;satch pack Schulrucksack 45 cm;119;;
ED-MXYG-U1CW;SATCH Kinder- Schulrucksäcke, Blau (Gravity Grey), 45 cm;119;;
Y8-CE1D-MTB0;satch Pack Schulrucksack Special Edition Mesh 48 cm;179;;
Y6-Y7SC-6PK8;Satch Pack Green Crush;128,9;;
XX-CLBW-MIH7;satch pack Schulrucksack ab 5. Klasse ergonomisch 30L Stauraum standfest Organisationstalent Carbon Black - Schwarz;159,9;;
N5-54WT-IDI8;satch pack Schulrucksack 45 cm;179;;
XF-NRRO-KLX7;Satch Match Pretty Confetti;125,99;;
X8-GBM5-KCDP;Hama Amazon gesperrt COOCAZOO SCALERALE Green Purple Dis;129,95;;
WK-KI76-ZW3V;satch match Schulrucksack 48 cm;109;;
VA-5V6F-MF3G;SATCH Kinder- Schulrucksäcke, Mehrfarbig (Starling Hype), 45 cm;179;;
WC-PA43-0FOS;"Coocazoo Geldbeutel AnyPenny ,,Laserreflect Solar-Green"", grün-schwarz, Portemonnaie mit Sichtfenster innen & außen, Münzfach, viele Kartenfächer, Klettverschluss, für Jungen";19,99;;
KV-PK7G-Q06Z;Satch Sleek Pretty Confetti;99,99;;
VW-648B-ZSU2;Hama Coocazoo Schulrucksack Evver Clevver 15 Zoll Laptopfach 119795 - Dots Methyl;99,95;;
VV-B6Z5-XU9Q;satch Turnbeutel 44 cm;29,99;;
R2-K8VB-TTYI;satch sleek Schulrucksack 45 cm Laptopfach;99;;
VA-246N-C24I;satch Geldbeutel für Jungen und Mädchen mit Sichtfenster, Münzfach und Geldscheinfach;17,99;;
TK-3AE3-FDO8;Coocazoo EvverClevver 2 Darkgrey Melange Schulrucksack Set 2tlg.;169,95;;
SH-MGSE-3BO2;Satch Pack Schulrucksack 45 cm;119;;
3P-CNTB-ONAH;"Coocazoo Turnbeutel ,,Grey Rocks"", schwarz-grau, mit Reißverschlussfach und Kordelzug, reflektierende Elemente, Schlaufen zur Befestigung am Schulrucksack, 10 Liter, ab der 3. Klasse";25,98;;
GU-IZ5T-NSY4;SATCH Pure Schulrucksack, 45 cm, 24 L, Purple Dark Blue;49,99;;
PY-FH30-QVZ9;"Coocazoo Mäppchen ,,Lime Flash"", schwarz-grün, Federmäppchen, großes Hauptfach, Schlaufen für Zirkel, Geodreieck und Lineal, Stundenplanfach, Stiftehalter, Reißverschlussfach, ab der 3. Klasse";25,95;;
V7-79OK-LLYE;"Coocazoo Mäppchen ""Blazing Fire"", schwarz-rot, Federmäppchen, großes Hauptfach, Schlaufen für Zirkel, Geodreieck und Lineal, Stundenplanfach, Stiftehalter, Reißverschlussfach, ab der 3. Klasse";24,74;;
3H-XBJO-I2ON;satch pack Schulrucksack ab 5. Klasse ergonomisch 30L Stauraum standfest Organisationstalent Coral Reef - Dunkelblau;118,02;;
TJ-C8PT-IIC0;"coocazoo Schulrucksack Joker ""Lime Flash"", schwarz-grün, ergonomischer & anpassbarer Tornister, höhen- & größenverstellbar, mit Brustgurt & Hüftgurt, ab der 3. Klasse";91,56;;
PU-OJGE-4GAX;satch Sportbeutel Nordic Grey;29,99;;
C1-O5HR-Q5NC;Satch air Candy Clouds;99,99;;
JQ-VERW-I11D;Satch air Pink Supreme;99,99;;
Z6-CXGY-FRKV;Satch Pack Dark Skate;116,47;;
G2-XI5F-JJKY;satch air Schulrucksack ab 5. Klasse gepolstert 26L Stauraum standfest Laptopfach Mystic Nights - Lila;94,07;;
ID-P5K9-TQK8;Satch Match Ninja Matrix neu;134,47;;
3S-348Y-KBZ3;satch Sport Trinkflasche BPA frei 650 ml, Auslaufsicher und Kohlensäure geeignet, für Sport- und Erfrischungsgetränke Lime Green - Lime;22,88;;
RM-OB28-CYX6;Satch Trinkflasche Edelstahl Nordic Jade Green;34,49;;
97-EOYH-J7TK;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar Spooky Monster - Lila;13,89;;
FQ-MFDO-LYXG;Satch air Geo Storm;109,77;;
DA-ILCW-U6C5;satch SWAPS Rucksack Accessoire in vielen Designs und Farben, austauschbar und individuell kombinierbar True Gamer - Schwarz;13,89;;
99-IAH2-AIQO;Satch Tag Glossy Mint;12,06;;
QS-MN35-IY23;Satch Fly Pure Jade Green;47,49;;
LU-0ROU-ST9G;Satch Fly Pure Navy;46,71;;
FD-AU80-MCS0;Satch Fly Pure Coral;44,99;;
JW-98Z5-4LE7;Satch Fly Pure Grey;46,36;;
F4-UAYN-WG80;Satch Sportbeutel Nordic Ice Blue;28,11;;
6A-KM9V-W27L;Satch Sporttasche Troublemaker;39,99;;
3K-GUZG-S3CA;Satch Sleek Lazy Daisy 001;97,87;;
3C-INJY-8AE6;Satch Geldbeutel Nordic Ice Blue;20,88;;
QI-IHKJ-02AH;Satch Flow S Lazy Daisy;109,99;;
PV-TKJM-PR41;Satch Schlamperbox Colourful Mind;29,85;;
0L-AS29-K11J;Coocazoo MatchPatch Gargoyle;15,59;;
6D-DBO7-ORGX;Satch air Nordic Berry;99;;
NM-3EWK-SAWD;satch Match Schulrucksack 45 cm Ninja Matrix 2020/21;144,99;;
M7-8YER-6484;"Coocazoo Turnbeutel ""Breaking Waves"", blau, mit Reißverschlussfach und Kordelzug, reflektierende Elemente, Schlaufen zur Befestigung am Schulrucksack, 10 Liter, ab der 3. Klasse";24,95;;
RY-JOQT-S7XB;Satch Sportbeutel Lazy Daisy;29,99;;
38-87GX-UYQ5;Satch air Ninja Matrix;100,9;;
IR-XR72-QXNQ;Coocazoo ScaleRale Mixed Melange Bold Berry;149,95;;
OS-2HH8-RF2V;Coocazoo Stifteetui RollerCoaler Checkmate Blue Red checkmate blue red;29,95;;
OK-3HKD-S8UD;Satch air Bloomey Breeze;86,39;;
UI-V4LE-6P0B;Satch Unisex Kinder Air Blackjack Rucksack, Schwarz, Schwarz, Einheitsgröße;109,09;;
YB-Z33U-Y0MB;Satch Sportbeutel Nordic Blue;31,89;;
QQ-PZPC-ZM0Z;satch Sporttasche 45 cm;39,9;;
6N-HWO2-QCDZ;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Candy Clouds);176,12;;
HE-ZFGN-4GXZ;Satch Geldbeutel Nordic Berry;18,25;;
QU-EYVI-VYF9;Satch Sportbeutel Blue Tech;28,49;;
V4-V4LU-1BT8;Coocazoo Schlamperbox Cloudy Camou;24,09;;
3L-3FW6-S6SZ;Satch Sporttasche Pink Supreme;49,98;;
HQ-9P3S-S74I;satch Pack Schlampermäppchen Stifteetui 25 cm;29,99;;
GZ-AF96-OMKG;Coocazoo MatchPatch Glow Pink;14,95;;
0I-UI93-RE5S;satch Clutch kleine Umhängetasche Schminktasche mit Kordelzug und Spiegel für Teenager Heartbreaker - Rosa;19,98;;
96-HYXW-3AA2;"Coocazoo Turnbeutel ""Dark Mission"", schwarz-grau, mit Reißverschlussfach und Kordelzug, reflektierende Elemente, Schlaufen zur Befestigung am Schulrucksack, 10 Liter, ab der 3. Klasse";24,95;;
MN-OY4H-GGPL;satch pack Schulrucksack Set 3 teilig ab 5. Klasse ergonomisch 30L Stauraum mit Schlamperbox Sportbeutel Retro Honey Set - Dunkelgelb;185,99;;
ZK-41C2-484P;Satch Clutch Bloomey Breeze;26,99;;
5G-RFYH-3PT5;"Coocazoo Schulrucksack MATE ""Dark Mission"", schwarz-grau, ergonomischer & anpassbarer Tornister, höhen- & größenverstellbar, mit Brustgurt & Hüftgurt, ab der 3. Klasse";121,49;;
O6-SL3F-1Z2L;Coocazoo Mate Electric Ice;121,5;;
YF-9Q65-3TN6;Coocazoo Schlamperbox Sprinkled Candy;26,99;;
OX-B4LZ-KE1Y;"Coocazoo Turnbeutel ""Reflective Splash"", schwarz-grau, mit Reißverschlussfach und Kordelzug, Schlaufen zur Befestigung am Schulrucksack, 10 Liter, ab der 3. Klasse";26,21;;
